progress,function,hostile,Interesting,text
24%,,,,A Commander-in-Chief sends America's sons and daughters into battle in a foreign land only after the greatest care and a lot of prayer.
24%,,,,We ask a lot of those who wear our uniform.
25%,,,,"We ask them to leave their loved ones, to travel great distances, to risk injury, even to be prepared to make the ultimate sacrifice of their lives."
25%,elevation,,TRUE,They are dedicated.
25%,elevation,,TRUE,They are honorable.
25%,elevation,,,"They represent the best of our country, and we are grateful."
25%,,,,"To all the men and women in our military -- every sailor, every soldier, every airman, every Coast Guardsman, every Marine -- I say this: Your mission is defined; your objectives are clear; your goal is just."
25%,elevation,,,"You have my full confidence, and you will have every tool you need to carry out your duty."
25%,,,,"I recently received a touching letter that says a lot about the state of America in these difficult times, a letter from a fourth-grade girl with a father in the military: ""As much as I don't want my dad to fight,"" she wrote, ""I'm willing to give him to you."
25%,,,,""" This is a precious gift."
25%,,,,The greatest she could give.
25%,,,,This young girl knows what America is all about.
25%,,,,"Since September 11, an entire generation of young Americans has gained new understanding of the value of freedom and its cost and duty and its sacrifice."
25%,,,,The battle is now joined on many fronts.
25%,elevation,,,"We will not waiver, we will not tire, we will not falter, and we will not fail."
25%,,,,Peace and freedom will prevail.
25%,,,,Thank you.
25%,elevation,,,May God continue to bless America.
26%,,,,Please be seated.
26%,,,,"President and Senator Clinton, thank you all for being here."
26%,,,,We have come here to pay our respects to 125 men and women who died in the service of America.
26%,,,,"We also remember 64 passengers on a hijacked plane; those men and women, boys and girls who fell into the hands of evildoers, and also died here exactly one month ago."
26%,,,,"On September 11th, great sorrow came to our country."
26%,,,,And from that sorrow has come great resolve.
26%,,,,"Today, we are a nation awakened to the evil of terrorism, and determined to destroy it."
26%,,,,That work began the moment we were attacked; and it will continue until justice is delivered.
26%,,,,"Americans are returning, as we must, to the normal pursuits of life."
26%,,,,"Americans are returning, as we must, to the normal pursuits of life."
26%,,,,"But we know that if you lost a son or daughter here, or a husband, or a wife, or a mom or dad, life will never again be as it was."
26%,,,,"The loss was sudden, and hard, and permanent."
26%,,,,So difficult to explain.
26%,,,,So difficult to accept.
26%,,,,Three schoolchildren traveling with their teacher.
26%,,,,An Army general.
27%,,,,A budget analyst who reported to work here for 30 years.
27%,,,,"A lieutenant commander in the Naval Reserve who left behind a wife, a four-year-old son, and another child on the way."
27%,,,,One life touches so many others.
27%,,,,One death can leave sorrow that seems almost unbearable.
27%,,,,"But to all of you who lost someone here, I want to say:  You are not alone."
27%,,,,"The American people will never forget the cruelty that was done here and in New York, and in the sky over Pennsylvania."
27%,,,,We will never forget all the innocent people killed by the hatred of a few.
27%,,,,We know the loneliness you feel in your loss.
27%,,,,"The entire nation, the entire nation shares in your sadness."
27%,,,,And we pray for you and your loved ones.
27%,,,,And we will always honor their memory.
27%,othering,,,The hijackers were instruments of evil who died in vain.
27%,othering,,,Behind them is a cult of evil which seeks to harm the innocent and thrives on human suffering.
27%,othering,,,"Theirs is the worst kind of cruelty, the cruelty that is fed, not weakened, by tears."
27%,othering,,,"Theirs is the worst kind of violence, pure malice, while daring to claim the authority of God."
27%,,,,We cannot fully understand the designs and power of evil.
28%,,,,"It is enough to know that evil, like goodness, exists."
28%,othering,,,"And in the terrorists, evil has found a willing servant."
28%,,,,"In New York, the terrorists chose as their target a symbol of America's freedom and confidence."
28%,othering,,,"Here, they struck a symbol of our strength in the world."
28%,,,,"And the attack on the Pentagon, on that day, was more symbolic than they knew."
28%,,,,"It was on another September 11th -- September 11th, 1941 -- that construction on this building first began."
28%,,,,America was just then awakening to another menace:  The Nazi terror in Europe.
28%,,,,"And on that very night, President Franklin Roosevelt spoke to the nation."
28%,,,,"""The danger,"" he warned, ""has long ceased to be a mere possibility."
28%,othering,,,"The danger is here now -- not only from a military enemy, but from an enemy of all law, all liberty, all morality, all religion.""1"
28%,othering,,,"For us too, in the year 2001, an enemy has emerged that rejects every limit of law, morality, and religion."
28%,othering,,,"The terrorists have no true home in any country, or culture, or faith."
28%,othering,,,They dwell in dark corners of earth.
28%,,hostile,TRUE,"And there, we will find them."
28%,,,,"This week, I have called -- This week, I have called the Armed Forces into action."
28%,,hostile,,"One by one, we are eliminating power centers of a regime that harbors al Qaeda terrorists."
29%,,,,We gave that regime a choice
29%,,hostile,,": Turn over the terrorists, or face your ruin."
29%,,,,They chose unwisely.
29%,othering,,,The Taliban regime has brought nothing but fear and misery to the people of Afghanistan.
29%,othering,,,"These rulers call themselves holy men, even with their record of drawing money from heroin trafficking."
29%,othering,,,"They consider themselves pious and devout, while subjecting women to fierce brutality."
29%,othering,,,The Taliban has allied itself with murderers and gave them shelter.
29%,othering,,,"But today, for al Qaeda and the Taliban, there is no shelter."
29%,,,,"As Americans did 60 years ago, we have entered a struggle of uncertain duration."
29%,,,,"But now, as then, we can be certain of the outcome, because we have a number of decisive assets."
29%,elevation,,,We have a unified country.
29%,elevation,,,We have the patience to fight and win on many fronts:
29%,,,,"Blocking terrorist plans, seizing their funds, arresting their networks, disrupting their communications, opposing their sponsors."
29%,,,,And we have one more great asset in this cause:
29%,elevation,,,The brave men and women of the United States military.
29%,elevation,,,"From my first days in this office, I have felt and seen the strong spirit of the Armed Forces."
30%,,,,"I saw it at Fort Stewart, Georgia,"
30%,elevation,,TRUE,"when I first reviewed our troops as Commander-in-Chief, and looked into the faces of proud and determined soldiers."
30%,,,,I saw it in Annapolis on a graduation day; at Camp Pendleton in California; Camp Bondsteel in Kosovo.
30%,,,,"And I have seen this spirit at the Pentagon, before and after the attack on this building."
30%,elevation,,,You've responded to a great emergency with calm and courage.
30%,,,,"And for that, your country honors you."
30%,,,,A Commander-in-Chief must know -- must know -- that he can count on the skill and readiness of servicemen and women at every point in the chain of command.
30%,elevation,,,You have given me that confidence.
30%,,,,And I give you these commitments.
30%,,,,"The wound to this building will not be forgotten, but it will be repaired."
30%,,,,"Brick by brick, we will quickly rebuild the Pentagon."
30%,,,,"In the missions ahead for the military, you will have everything you need, every resource, every weapon, every means to assure full victory for the United States and the cause of freedom."
30%,,,,And I pledge to you that America will never relent on this war against terror.
30%,,,,"There will be times of swift, dramatic action."
30%,,,,"There will be times of steady, quiet progress."
30%,,hostile,,"Over time, with patience, and precision, the terrorists will be pursued."
31%,,hostile,,"They will be isolated, surrounded, cornered, until there is no place to run, or hide, or rest."
31%,,,,"As military and civilian personnel in the Pentagon, you are an important part of the struggle we have entered."
31%,,,,"You know the risks of your calling, and you have willingly accepted them."
31%,elevation,,,"You believe in our country, and our country believes in you."
31%,,,,"Within sight of this building is Arlington [National] Cemetery, the final resting place of many thousands who died for our country over the generations."
31%,othering,,,"Enemies of America have now added to these graves, and they wish to add more."
31%,elevation,,TRUE,"Unlike our enemies, we value every life, and we mourn every loss."
31%,elevation,,,Yet we're not afraid.
31%,elevation,,,"Our cause is just, and worthy of sacrifice."
31%,elevation,,,"Our nation is strong of heart, firm of purpose."
31%,,,,"Inspired by all the courage that has come before, we will meet our moment and we will prevail."
31%,elevation,,,"May God bless you all, and may God bless America."
31%,,,,Good evening.
31%,,,,"I would like to report to the American people on the state of our war against terror, and then I'll be happy to take questions from the White House press corps."
31%,,,,"One month ago today, innocent citizens from more than 80 nations were attacked and killed, without warning or provocation, in an act that horrified not only every American, but every person of every faith, and every nation that values human life."
31%,,,,"The attack took place on American soil, but it was an attack on the heart and soul of the civilized world."
32%,,,,"And the world has come together to fight a new and different war, the first, and we hope the only one, of the 21st century."
32%,,,,"A war against all those who seek to export terror, and a war against those governments that support or shelter them."
32%,,,,We've accomplished a great deal in one month.
32%,elevation,,,"Our staunch friends, Great Britain, our neighbors Canada and Mexico, our NATO allies, our allies in Asia, Russia and nations from every continent on the Earth have offered help of one kind or another -- from military assistance to intelligence information, to crack down on terrorists' financial networks."
32%,,,,"This week, 56 Islamic nations issued a statement strongly condemning the savage acts of terror, and emphasizing that those acts contradict the peaceful teachings of Islam."
32%,,,,All is strong and united on the diplomatic front.
32%,elevation,,,The men and women of the United States military are doing their duty with skill and success.
32%,,hostile,,"We have ruined terrorist training camps, disrupted their communications, weakened the Taliban military, and destroyed most of their air defenses."
32%,,hostile,,We're mounting a sustained campaign to drive the terrorists out of their hidden caves and to bring them to justice.
32%,,,,All missions are being executed according to plan on the military front.
32%,elevation,,,"At the same time, we are showing the compassion of America by delivering food and medicine to the Afghan people who are, themselves, the victims of a repressive regime."
32%,,,,"On the law enforcement front, terrorists are being swept up in an international dragnet."
32%,,,,Several hundred have been arrested.
32%,,,,Thousands of FBI agents are on the trail of other suspects here and abroad.
32%,,,,"Working with countries around the world, we have frozen more than $24 million in al Qaeda or Taliban assets."
32%,,hostile,,"We are aggressively pursuing the agents of terror around the world, and we are aggressively strengthening our protections here at home."
33%,,,,"This week we established America's new Office of Homeland Security, directed by former Governor Tom Ridge."
33%,,,,"Americans tonight can know that while the threat is ongoing, we are taking every possible step to protect our country from danger."
33%,,,,"Your government is doing everything we can to recover from these attacks, and to try to prevent others."
33%,,,,"We're acting to make planes and airports safer, rebuild New York and the Pentagon."
33%,,,,"We must act to stimulate a slow economy, to help laid-off workers."
33%,,,,And we must fund our military.
33%,,,,This is a time of testing -- this time of testing has revealed the true character of the American people.
33%,elevation,,,"We're angry at the evil that was done to us, yet patient and just in our response."
33%,,,,"Before September 11th, my Administration was planning an initiative called Communities of Character."
33%,,,,"It was designed to help parents develop good character in our children, and to strengthen a spirit of citizenship and service in our communities."
33%,,,,"The acts of September 11th have prompted that initiative to occur on its own, in ways far greater than I could have ever imagined."
33%,elevation,,,"We've shown great love for our country, and great tolerance and respect for all our countrymen."
33%,,,,"I was struck by this:  that in many cities, when Christian and Jewish women learn that Muslim women -- women of cover -- were afraid of going out of their homes alone, that they went shopping with them, that they showed true friendship and support -- an act that shows the world the true nature of America."
33%,,,,Our war on terrorism has nothing to do with differences in faith.
33%,,,,It has everything to do with people of all faiths coming together to condemn hate and evil and murder and prejudice.
33%,elevation,,,"One month after great suffering and sorrow, America is strong and determined and generous."
34%,,,,"I'm honored to lead such a country, and I know we are ready for the challenges ahead."
34%,,,,"And, now, I welcome your questions."
34%,,,,Ron.
34%,,,,Question:
34%,,,,"Thank you, sir."
34%,,,,"You said that the threat is ongoing, and, indeed, the deadly virus of anthrax was found in three Florida people this week."
34%,,,,Osama bin Laden's spokesman says storms of planes are yet to be hijacked.
34%,,,,Your FBI warned just today that terrorist attacks could be happening again in the next couple of days.
34%,,,,"If the FBI knows of a credible threat, can you assure the public that you would take the precaution of locking down any system involved, whether it's buildings, airports, water systems, to prevent more deaths?"
34%,,,,"And, most importantly, is there anything you can say to Americans who feel helpless to protect themselves and their families from the next wave of attacks, if there are more to come?"
34%,,,,What can people do to protect themselves?
34%,,,,President Bush:
34%,,,,Sure.
34%,,,,"Today, the Justice Department did issue a blanket alert."
34%,,,,It was in recognition of a general threat we received.
34%,,,,This is not the first time the Justice Department have acted like this.
35%,,,,I hope it's the last.
35%,,,,"But, given the attitude of the evildoers, it may not be."
35%,,,,"I have urged our fellow Americans to go about their lives, to fly on airplanes, to travel, to go to work."
35%,,,,But I also want to encourage them by telling them that our government is on full alert.
35%,,,,And that -- the alert put out today from the Justice Department
35%,,,,was such an action.
35%,,,,"Now, if we receive specific intelligence, where we -- a credible threat that targets a specific building or city or facility, I can assure you our government will do everything possible to protect the citizens around and in, or near that facility."
35%,,,,And let me give you one example of a specific threat we received.
35%,,,,You may remember recently there was a lot of discussion about crop dusters.
35%,othering,,,We received knowledge that perhaps an al Qaeda operative was prepared to use a crop duster to spray a biological weapon or a chemical weapon on American people.
35%,,,,And so we responded.
35%,,,,"We contacted every crop-dust location, airports from which crop dusters leave, we notified crop duster manufactures to a potential threat."
35%,,,,"We knew full well that in order for a crop duster to become a weapon of mass destruction would require a retrofitting, and so we talked to machine shops around where crop dusters are located."
35%,elevation,,,We took strong and appropriate action.
35%,,,,And we will do so any time we receive a credible threat.
35%,,,,"Now, the American people have got to go about their business."
36%,,,,"We cannot let the terrorists achieve the objective of frightening our nation to the point where we don't -- where we don't conduct business, where people don't shop."
36%,,,,That's their intention.
36%,othering,,,Their intention was not only to kill and maim and destroy.
36%,othering,,,Their intention was to frighten to the point where our nation would not act.
36%,othering,,,"Their intention was to so frighten our government that we wouldn't seek justice; that somehow we would cower in the face of their threats and not respond, abroad or at home."
36%,,,,We're both responding abroad and at home.
36%,,,,"The American people, obviously, if they see something that is suspicious, something out of the norm that looks suspicious, they ought to notify local law authorities."
36%,,,,"But in the meantime, they ought to take comfort in knowing our government is doing everything we possibly can."
36%,,,,"We've got a Homeland Security Office now running, as I mentioned, headed by Tom Ridge."
36%,,,,We're sharing intelligence with our friends in countries from overseas.
36%,,,,We follow every lead.
36%,,,,"And information-sharing between the CIA and the FBI is seamless, so that the reaction to any threat is real-time."
36%,,hostile,,"And -- but the truth of the matter is, in order to fully defend America, we must defeat the evildoers where they hide."
36%,,,,"We must round them up, and we must bring them to justice."
36%,,,,And that's exactly what we're doing in Afghanistan -- the first battle in the war of the 21st century.
36%,,,,Steve.
37%,,,,Question:
37%,,,,Thank you.
37%,,,,You've been careful to avoid saying how long the military strikes in Afghanistan might take place.
37%,,,,But can you promise to say how long American -- can you avoid being drawn into a Vietnam-like quagmire in Afghanistan?
37%,,,,President Bush:  We learned some very important lessons in Vietnam.
37%,,,,Perhaps the most important lesson that I learned is that you cannot fight a guerrilla war with conventional forces.
37%,,,,"That's why I've explained to the American people that we're engaged in a different type of war; one obviously that will use conventional forces, but one in which we've got to fight on all fronts."
37%,,,,"I remember saying to you all that the first shot in the war was when we started cutting off their money, because an al Qaeda organization can't function without money."
37%,,hostile,,And we're continuing our efforts to reach out to willing nations to disrupt and seize assets of the al Qaeda organization.
37%,,,TRUE,We are in the process of rounding up al Qaeda members around the world.
37%,,,,"There are al Qaeda organizations in, roughly, 68 countries."
37%,,,,And over 200 have now been apprehended.
37%,,,TRUE,"And every time I talk to a world leader, I urge them to continue finding the al Qaeda representatives and bring them to justice."
37%,,,,"As far as the use of conventional forces, we've got a clear plan, and it's to say to the host government that you have been given your -- and by the way, I gave them ample opportunity to turn over al Qaeda."
37%,othering,hostile,,"I made it very clear to them, in no uncertain terms, that in order to avoid punishment, they should turn over the parasites that hide in their country."
37%,,,,They obviously refused to do so.
38%,,hostile,TRUE,And now they're paying a price.
38%,elevation,hostile,TRUE,"We are dismantling their military, disrupting their communications, severing their ability to defend themselves."
38%,elevation,hostile,,"And slowly, but surely, we're smoking al Qaeda out of their caves"
38%,,,,so we can bring them to justice.
38%,,,,"People often ask me, how long will this last?"
38%,,,,This particular battlefront will last as long as it takes to bring al Qaeda to justice.
38%,,,,It may happen tomorrow; it may happen a month from now; it may take a year or two.
38%,elevation,,,But we will prevail.
38%,,,,And what the American people need to know is what our allies know:
38%,,,,I am determined to stay the course.
38%,,,,And we must do so.
38%,,,,We must do so.
38%,elevation,hostile,,We must rid the world of terrorists so our children and grandchildren can grow up in freedom.
38%,,,,It is essential.
38%,,,,It is now our time to act.
38%,,,,And I'm proud to lead a country that understands that.
39%,,,,"Question:  Mr. President, today, Defense Secretary Rumsfeld said that Osama bin Laden was probably still in Afghanistan."
39%,,,,"How can the U.S. get him, dead or alive -- to use words that you've used recently -- if we're not entirely sure whether he's in the country?"
39%,,,,And can we win the war on terrorism if bin Laden is not found?
39%,,,,President Bush:  Ours is a war against terrorism in general.
39%,othering,,,Mr. bin Laden is a -- is one of the worst.
39%,,,,"But as you may remember, we published the 22"
39%,,,,Most Wanted; he's one of 22 we're after.
39%,elevation,hostile,,"In terms of Mr. bin Laden himself, we'll get him running."
39%,elevation,hostile,,"We'll smoke him out of his cave, and we'll get him eventually."
39%,,,,But success or failure depends not on bin Laden; success or failure depends upon routing out terrorism where it may exist all around the world.
39%,,,,"He's just one person, a part of a network."
39%,,,,"And we're slowly, but surely, with determined fashion, routing that network out and bringing it to justice."
39%,,,,We've been active for a month.
39%,,,,I intend to be giving you a briefing for as long as I'm the President.
39%,,,,I understand this is a unconventional war.
39%,,,,It's a different kind of war.
40%,,,,It's not the kind of war that we're used to in America.
40%,,,,The Greatest Generation was used to storming beachheads.
40%,,,,"Baby boomers such as myself, were used to getting caught in a quagmire of Vietnam where politics made decisions more than the military sometimes."
40%,,,,"Generation X was able to watch technology right in front of their TV screens -- you know, burrow into concrete bunkers in Iraq and blow them up."
40%,,,,This is a different kind of war that requires a different type of approach and a different type of mentality.
40%,,,,"And so we're going to slowly, but surely, tighten the net on terrorists, wherever they live."
40%,,,,And it's essential to do so now.
40%,,,,It's essential to do so now.
40%,,,,"The actions my government takes, in concert with other countries, the actions we take at home to defend ourselves will serve as a go-by for future Presidents, or future prime ministers in Britain, for example, or future FBI directors."
40%,,,,"It is important that we stay the course, bring these people to justice, to show -- and show others how to fight the new wars of the 21st century."
40%,,,,Helen.
40%,,,,Question:
40%,,,,"Mr. President, on that note, we understand you have advisors who are urging you to go after Iraq, take out Iraq, Syria and so forth."
40%,,,,Do you really think that the American people will tolerate you widening the war beyond Afghanistan?
40%,,,,And I have a follow-up.
41%,,,,President Bush:
41%,,,,Thank you for warning me.
41%,,,,"Our focus is on Afghanistan, and the terrorist network hiding in Afghanistan, right now."
41%,,,,"But, as well, we're looking for al Qaeda cells around the world."
41%,,hostile,,"If we find an al Qaeda cell operating, we will urge the host country to bring them to justice."
41%,,,,"And we're having some progress, we're making progress."
41%,,,,"We -- as I mentioned, Helen, this is a long war against terrorist activity."
41%,,hostile,,"And the doctrine I spelled out to the American people in front of Congress said not only will we seek out and bring to justice individual terrorists who cause harm to people, to murder people, we will also bring to justice the host governments that sponsor them, that house them and feed them."
41%,,,,You mentioned Iraq.
41%,othering,,,There's no question that the leader of Iraq is an evil man.
41%,othering,,,"After all, he gassed his own people."
41%,othering,,,We know he's been developing weapons of mass destruction.
41%,,,,"And I think it's in his advantage to allow inspectors back in his country to make sure that he's conforming to the agreement he made, after he was soundly trounced in the Gulf War."
41%,,hostile,TRUE,And so we're watching him very carefully.
41%,,hostile,TRUE,We're watching him carefully.
41%,,,,"Your follow-up, please."
42%,,,,Question:
42%,,,,"It's a little offbeat, but --"
42%,,,,President Bush:
42%,,,,Okay.
42%,,,,"Well, I expect an offbeat question, frankly."
42%,,,,Question: -- you've met twice in the White House since you've been in office with Prime Minister Sharon.
42%,,,,But you have refused to meet with Yasser Arafat.
42%,,,,"Now that you envision a Palestinian state, will you meet with Arafat and, if so, when?"
42%,,,,"President Bush:  I want to assure the American people, in particular our allies who are interested in our position in the Middle East, that we're spending a lot of time dealing with the Middle East."
42%,,,,"I know there was some concern amongst our allies when the September 11th -- right after the September 11th attack, that we would forego any responsibility we have in the Middle East."
42%,,,,Secretary of State Powell is doing a great job of staying in contact with both Mr. Arafat and Prime Minister Sharon.
42%,,,,"I have met with Prime Minister Sharon, and I've assured him every time we've met that he has no better friend than the United States of America."
42%,,,,"I also stated the other day that if we ever get into the Mitchell process where we can start discussing a political solution in the Middle East, that I believe there ought to be a Palestinian state, the boundaries of which will be negotiated by the parties, so long as the Palestinian state recognizes the right of Israel to exist and will treat Israel with respect, and will be peaceful on her borders."
42%,,,,"Obviously, the events of September 11th have prevented overt diplomacy in the Middle East -- not prevented it, it just made it- - my calendar is a little crowded."
42%,,,,"On the other hand, I am very much engaged."
42%,,,,I have spoken to Prime Minister Sharon again.
43%,,,,"And if I am convinced that a meeting with a particular party at this point in time will further the process, I will do so."
43%,,,,"If it turns out to be an empty photo opportunity that creates expectations that will become dashed, I won't meet."
43%,,,,I hope progress is being made.
43%,elevation,,,I was pleased to see that Mr. Arafat is trying to control the radical elements within the Palestinian Authority.
43%,,,,And I think the world ought to applaud him for that.
43%,,,,"I hope he's taking measures necessary to reduce the violence in the Middle East, so that we can get into the Mitchell process."
43%,,,,"We're working hard on the topic, Helen."
43%,,,,It's a very important part of our foreign policy.
43%,,,,David.
43%,,,,"Question:  Mr. President, good evening."
43%,,,,I'd like to ask you for a more complete portrait of your progress so far.
43%,,,,"Can you tell the American people, specifically, what is the state of Osama bin Laden?"
43%,,,,What is the state of the al Qaeda network?
43%,,,,Are they on the run?
43%,,,,To what extent have you been able to disrupt their activities?
43%,,,,Do you believe there are members of those cells still in the United States capable of carrying out terrorist acts?
44%,,,,"And, again, do you know whether Osama bin Laden is dead or alive?"
44%,,,,President Bush:
44%,,,,Let me start backwards.
44%,,,,I don't know if he's dead or alive.
44%,,,,"I want him brought to justice, however."
44%,,,,We are following every possible lead to make sure that any al Qaeda member that could be in the United States is brought to justice.
44%,,,,The FBI has got thousands of agents who are following every hint of a possibility of an al Qaeda in our country.
44%,,,,We're chasing down the leads of -- that have been given to us as a result of the bombing.
44%,,,,And we're following other leads.
44%,,,,Let me say one thing about the FBI that I think people find interesting.
44%,,,,All of us in government are having to adjust our way of thinking about the new war.
44%,,,,The military is going to have to adjust.
44%,,,,They recognize -- and Secretary Rumsfeld clearly understands this -- that we need to have a -- that we need to rethink how we configure our military -- there's been some stories to that effect -- so that we can more effectively respond to asymmetrical responses from terrorist organizations.
44%,,,,"The FBI must think differently, and Director Mueller is causing them to do so."
44%,,,,"The FBI, as you know, spent a lot of manpower and time chasing -- spies in a post-Cold War era."
44%,,,,They were still chasing spies.
45%,,,,"Nothing wrong with that, except we have a new enemy."
45%,,,,"And now, the FBI is rightly directing resources toward homeland security."
45%,,,,It's been an adjustment.
45%,,,,And I'm proud to report that Director Mueller has adjusted quickly.
45%,,,,I am confident that the al Qaeda organization is moving around Afghanistan.
45%,,,,They think they might find safe haven.
45%,,,,Not if we think they're there.
45%,elevation,,TRUE,And we've got them on the run.
45%,,,,"The other day, we brought to justice a person that killed an American citizen in 1986."
45%,,,,He was charged with murder.
45%,,,,"And I made a point of talking about that in a press conference because I wanted not only terrorists to understand, but the American people understand that we'll be patient, if need be, to bring them to justice."
45%,,,,We'll find them.
45%,,,,And he thought this -- this is an interesting case in Afghanistan
45%,,,,because it's -- he thought he had hijacked a country.
45%,,,,He actually did for a while.
45%,,,,He forced a country to accept his radical thoughts.
46%,,,,And it became a safe haven for bin Laden and the al Qaeda organization.
46%,,,,"It's no longer a safe haven, that's for sure, because our military activity, David."
46%,,,,"Yes, Elizabeth."
46%,,,,"Question:  Mr. President, you've tried very hard to assure Americans that the country is safe, and yet your own Vice President has spent most of this week in a secure location."
46%,,,,"Can you explain why that is, and also how long that will last?"
46%,,,,President Bush:
46%,,,,Sure.
46%,,,,I shook hands with the Vice President today in the Oval Office.
46%,,,,I welcomed him out of his secure location.
46%,,,,"There are some times when the Vice President and I will be together, and sometimes we won't be."
46%,,,,We take very seriously the notion of the continuity of government.
46%,,,,"It's a responsibility we share, to make sure that under situations such as this, when there are possible threats facing our government, that we separate ourselves, for the sake of continuity of our government."
46%,,,,And I was pleased to see him.
46%,,,,He's looking swell.
46%,,,,Jim.
46%,,,,Question:
47%,,,,"Thank you, Mr. President."
47%,,,,"Sir, some critics have expressed doubts about trying to get nations that once sponsored terrorism to now cooperate in the effort against terrorism."
47%,,,,"Would you share your thinking with us, sir, and is it your view that every sinner should get a chance to redeem himself -- that there is, in effect, an amnesty for nations that once sponsored terrorism if they will now stop and cooperate with us?"
47%,,,,President Bush:  Of course.
47%,,,,"But our ability to affect host nations harboring terrorists will depend upon our determination, our will, our patience."
47%,,hostile,,"We are sending a signal to the world as we speak that if you harbor a terrorist, there will be a price to pay."
47%,,,,And there are nations in the world that have expressed a desire to help.
47%,,,,Helen mentioned Syria.
47%,,,,The Syrians have talked to us about how they can help in the war against terrorism.
47%,,,,We take that -- we take that seriously and we'll give them an opportunity to do so.
47%,,,,"I'm a performance-oriented person, I believe in results."
47%,,,,"And if you want to join the coalition against terror, we'll welcome you in."
47%,,,,I have recognized some countries will do things that others won't do.
47%,,,,All I ask is for results.
47%,,,,"If you say you want to join us to cut off money, show us the money."
47%,,,,"If you say you want to join us militarily, like Great Britain does, do so -- and they have done so in a fashion that should make the people of Great Britain proud."
48%,,,,"If you're interested in sharing intelligence, share intelligence -- all ways."
48%,,,,"I appreciate diplomatic talk, but I'm more interested in action and results."
48%,,,,I am absolutely determined -- absolutely determined -- to rout terrorism out where it exists and bring them to justice.
48%,,,,"We learned a good lesson on September the 11th,  that there is evil in this world."
48%,,,,I know there's a lot of children in America wondering what took place.
48%,,,,"I think it's essential that all moms and dads and citizens tell their children we love them and there is love in the world, but also remind them there are evil people."
48%,elevation,,,"And it's my duty as the President of the United States to use the resources of this great nation, a freedom-loving nation, a compassionate nation, a nation that understands values of life, and rout terrorism out where it exists."
48%,,,,And we're going to give plenty of nations a chance to do so.
48%,,,,Terry.
48%,,,,"Question:  Back to the FBI warning of today, which was based, it said, on certain information that there would be retaliatory attacks over the next several days."
48%,,,,"Given the complete generality of that warning, what does it really accomplish, aside from scaring people into not doing what you've urged them to do -- getting back to their normal lives -- what should they do with it, and did you personally approve the issuance of that warning?"
48%,,,,"President Bush:  I'm aware of the intelligence that caused the warning to be issued, and it was a general threat on America."
48%,,,,"And as I mentioned earlier, had it been a specific threat, we would have contacted those to whom the threat was directed."
48%,,,,"But, Terry, I think it is important for the American people to know their government is on full alert."
48%,,,,And that's what that warning showed.
48%,,,,We take every threat seriously.
49%,,,,And the American people shouldn't be surprised that we're issuing alerts.
49%,,,,"After all, on our TV screens the other day, we saw the evil one threatening -- calling for more destruction and death in America."
49%,,,,And so we should take these threats seriously.
49%,,,,"And we had another threat, a general threat."
49%,,,,"Had it been specific, we would have dealt with the specifics of the threat."
49%,,,,"I think the American people should take comfort in the fact that their government is doing everything we possibly can do to run down every possible lead, and take threats -- and we take threats seriously."
49%,,,,"I think the American people do understand that after September 11th, that we're facing a different world."
49%,,,,And they accept that responsibility.
49%,,,,They accept that responsibility.
49%,,,,"There is, I think, some positive news about the American people reacting to what we're doing."
49%,,,,The load factors on airplanes are increasing.
49%,,,,"Now, I recognize certain routes have been reduced, but nevertheless, people are getting back on airplanes."
49%,,,,That's important that that be the case.
49%,,,,Hotels are getting more customers.
49%,,,,That's important for the working people of the country.
49%,,,,We are getting back to normal.
50%,,,,We're doing so with a new sense of awareness.
50%,,,,And the warning that went out today helped heighten that sense of awareness.
50%,,,,John.
50%,,,,"Question:  Mr. President, you've said on repeated occasions that you're not into nation-building."
50%,,,,"Yet, it appears in this case, given the politics of the region, it may play a crucial role in resolving this crisis."
50%,,,,"Prime Minister Blair of Britain has said that the coalition, if the Taliban falls, will work to create a broadly-based government."
50%,,,,"I'm wondering, sir, has that become a priority of your Administration now, to devise a plan for a new government in Afghanistan?"
50%,,,,And what part might King Zaher Shah play in that?
50%,,,,President Bush:
50%,,,,"Well, I think it's --"
50%,,,,"John, it's a -- first let me reiterate, my focus is bringing al Qaeda to justice and saying to the host government, you had your chance to deliver."
50%,,,,"Actually, I will say it again --"
50%,,,,"if you cough him up, and his people, today, that we'll reconsider what we're doing to your country."
50%,,,,You still have a second chance.
50%,,,,Bring him in.
50%,,,,And bring his leaders and lieutenants and other thugs and criminals with him.
51%,,,,"I think we did learn a lesson, however, from -- and should learn a lesson -- from the previous engagement in the Afghan area, that we should not just simply leave after a military objective has been achieved."
51%,,,,That's why -- and I sent that signal by announcing that we're going to spend $320 million of aid to the Afghan people.
51%,,,,That's up from roughly $170 million this year.
51%,,,,I personally think that a --
51%,,,,and I appreciate Tony Blair's --
51%,,,,and I've discussed this with him --
51%,,,,his vision about Afghan after we're successful -- Afghanistan after we're successful.
51%,,,,"One of the things we've got to make sure of is that all parties, all interested parties have an opportunity to be a part of a new government; that we shouldn't play favorites between one group or another within Afghanistan."
51%,,,,"Secondly, we've got to work for a stable Afghanistan so that her neighbors don't fear terrorist activity again coming out of that country."
51%,,,,"Third, it would be helpful, of course, to eradicate narco-trafficking out of Afghanistan, as well."
51%,,,,I believe that the United Nations would -- could provide the framework necessary to help meet those conditions.
