progress	function	hostile	interesting	text
35%	elevation			"I say: If the sons of the country of the two holy mosques - who went to fight the Russians in Afghanistan, the Serbs in Bosnia-Herzegovina, and who are now fighting in Chechnya, and God has granted them victory over the Russians, who are allying with you - and they are also fighting in Tajikistan - believe in the need to fight against atheism everywhere, they have the strength and enthusiasm in the land in which they were born to defend their greatest holy sites, the holy Ka'bah, the qiblah of all Muslims."
35%				"They also know that Muslims in the world [a portion of the text is missing at this point; if pagination of fax copy is correct, this suggests two pages, approximately 1,600 words, are missing."
35%				Text resumes by citing parts of a poem].
35%	elevation			"The Jerusalem wound is painful in my body, it is like fire inside me; I have never betrayed God, but states have."
35%				"And their grandfather 'Asim Bin-Thabit said when the atheists requested him to negotiate and not to fight: What do I have to lose - I am already too old; death is truth and life is falsehood - I do not fight you, then I am foolish."
35%	othering			"Young men believe you [apparently still addressing the United States] are responsible for what your Jewish brothers are doing in Palestine and Lebanon, namely killing and making Muslims homeless and violating their rights."
36%				You are openly supplying them with money and weapons.
36%	othering			"And more than 600,000 children have died in Iraq as a result of the shortages of food and medicines caused by your unjust embargo on Iraq, whose children are ours."
36%	othering			So you and the Saudi regime are held responsible for the blood of those innocent people.
36%				"All this causes us to revoke any treaty ['ahd] between us, as the Prophet, peace be upon him, considered the al-Hudaybiyah peace null and void after Quraysh helped Bani Bakr against the Prophet's allies."
36%				So he fought against Quraysh and opened Mecca.
36%	othering			And he considered the agreement with Bani Qaynaqa' null and void because a Jew from among them harmed a woman in a marketplace.
36%	othering			But you killed hundreds of thousands of Muslims and encroached on their holy sites.
36%	othering			"It is now clear that those claiming that the blood of the soldiers of the US enemy, who is occupying a Muslim country, is protected, are repeating - under compulsion - what is dictated by the regime, for fear of its oppression and in order to be on the safe side."
37%				It is incumbent on every tribe in the Arabian Peninsula to fight for God's cause and purge their territory of these occupiers.
37%			implicit - setting group permissions	"God says that it is permissible to shed their blood and seize their property, and anyone who kills a person, the booty is his."
37%	othering	Hostile		"Almighty God said: ""But when the forbidden months are past, then fight and slay the pagans wherever ye find them, and seize them, beleaguer them, and lie in wait for them...."""
37%		Hostile	implicit hostility suggesting there are no other options than violence	Young men know that the humiliation inflicted on Muslims through the occupation of their holy sites can only be eliminated through the jihad and explosives.
37%				They repeat the poet's words:
37%				Humiliation can only be eliminated through bullets and the shedding of blood.
37%				"I tell the young men of the Islamic world who fought in Afghanistan and Bosnia-Herzegovina with their money, lives, tongues, and pens that the battles has not ended yet."
38%				"I remind them of Gabriel's discussion with the messenger of God after the al-Ahzab battle: When the messenger of God arrived in Medina, he put his weapon aside."
38%				Gabriel came up to him and said: Have you laid down your weapon?
38%				"By God, the angels have not yet laid down their weapons."
38%				"So move with those who are with you to Bani Qurayzah, as I will be moving in front of you, rocking their fortifications and striking terror in their hearts."
38%				"So Gabriel joined a procession of angels with the Prophet behind them, joined by emigrants and supporters."
38%				"Young men know that those who are not killed are going to die [one day], and that the most honorable way to die is to die for the sake of God's cause."
38%			long sentence for testing	"They repeat the saying of their grandfather, the companion 'Abdallah Bin-Rawahah, especially after the murder of the four heroes who blew up the Americans in Riyadh - these young men have restored daring operation: If not killed, one will die one day anyhow - here is the fire of death blazing if you engage in it, you will be rightly guided."
39%		Hostile		Ja'far said: Paradise is approaching - beautiful and its drink is cold; the Romans are approaching their own suffering - I promise I will fight them if I come face to face with them.
39%	elevation			"As regards our mothers, sisters, women, and daughters, they follow the example of the honorable women of the Prophet's companions after the Prophet himself, may God's prayers and blessings be upon him, and they emulate their bravery, courage, and generosity in support of God's religion."
39%	elevation			"They remember the courage and steadfastness of Fatimah Bint-al-Khattab, may God's blessings be upon her, when, in support of what was right, she stood up to her own brother 'Umar Ibn-al-Khattab before he adopted Islam and challenged him after he learned of her becoming a Muslim."
39%				"She said to him: ""Do you not see that right is not in your religion, 'Umar?"""
39%	elevation			"And they remember the stand of Asma Bint-Abi-Bakr on the day of the migration [the Prophet's migration to Medina] when she cut her belt in two and used one to tie the travel bag of the Prophet, may God's prayers and blessings be upon him, and [one to tie the bag of] Abu-Bakr which they took with them on their journey to Medina, for which she was called the lady of the two belts."
39%				"They also remember the stand taken by Nusaybah Bint-Ka'b in defense of the Prophet, may God's prayers and blessings be upon him, one day, sustaining 12 wounds in the process, one of them a deep wound in her neck."
39%				They remember the sacrifices of the women of the [Prophet's] companions who sold their jewellery to arm the Muslim invading forces for God's cause.
40%	elevation			"Our women in this era have set magnificent examples in sacrifice for God and in urging their sons, brothers, and husbands to declare jihad for God, in Afghanistan, Bosnia-Herzegovina, Chechnya, and other places."
40%				"We beseech God to accept their sacrifices and to release their sons, fathers, husbands, and brothers, and to consolidate their faith and strengthen their steps on that road of sacrifice so that God's will may prevail."
40%				"Our women only eulogize and sing the praises of the men fighting for God, as the following poem says: Extol only the lions who are brave in raging wars, let me die an honored death in war for glory in death is better than life itself."
40%				"They urge their brothers to go to jihad for God, as the following poem says: Be ready for struggle for this is a serious matter."
40%				"Would you abandon us with all these wolves of heresy biting at our wings, wolves who continue to promote evil everywhere?"
40%				Who among the freemen of my religion will defend freedom with arms?
40%				Death is better than life in humiliation and shame.
41%				Brother Muslims worldwide:
41%				"Your brothers in the land of the two holy mosques and Palestine seek your help and ask you to participate with them in their jihad against their enemies and yours, the Israelis and the Americans, with everything that would drive them out of the Islamic holy places, defeated, with each of you doing what he can."
41%				" ""And if they seek your support in religion, then you must give it."""
41%				[Koranic verse]
41%				So mount your horse for God's cause.
41%	elevation		elevation in reference to a goal	"This is the time to be firm, so be firm and know that your unity and cooperation for the liberation of the Islamic holy places is a sound step toward the unification of the nation's ranks under the banner of the one God."
41%				Here in this position we cannot but pray and ask Almighty God to show us the way and grant us success in all that.
42%	elevation			"The genuine ulema of Islam and the nation's good youth are in captivity, so, God, please release them, give them strength, and look after their people."
42%	othering	Anti-Semetic		"O God, the people of the cross have come with their horses and men and have violated the land of the two holy mosques, and the Jews are wreaking corruption in the al-Aqsa Mosque, the site of the Prophet's ascension to heaven."
42%	othering			"O God, divide them and break them apart and give us strength over them, shake the earth under their feet."
42%	elevation			"O God, help us defeat them and protect us from their evil."
42%	elevation			"O God, show us to be lions in their eyes and perform your miracles."
42%	elevation			"O God who revealed the Koran, moved clouds, and defeated factions, O God, defeat them and grant us victory over them."
42%	elevation			"You are our strength and our support, with you we move and fight, O God you are the best protector."
42%	elevation			"O God, those youth have come together in support of your religion and your banner, so give them your support and bless their hearts."
43%	elevation			"O God, strengthen the youth of Islam, guide their steps, and strike amity into the hearts of Muslims and unite their ranks, and give us patience and steadfastness and grant us victory against the heretics."
43%				"Do not hold anything against us, as was the case with others in the past, and do not give us a load in excess of what we can bear."
43%				"Pardon us, forgive us, and have mercy on us, our lord, and give us triumph over the heretics."
43%	elevation			"O God, give this nation guidance, honoring those who obey you and disgracing those who disobey you, and let good be promoted and evil shunned."
43%	elevation			"O God, bless your subject and messenger Muhammad, his kin, and his companions, and give them great peace."
43%	elevation			"Finally we thank God, the lord of the universe."
43%				Sons and daughters of Islam!
44%				Assalam-o-Alaikum [Greeting].
44%				You are well aware of the problems being faced by the Muslim world at present.
44%				"In this context, I want to make some requests to you."
44%				All the movements and efforts presently taking place from different platforms for the dominance of Islam are individually respectable.
44%				Whichever movement you are associated with is a source of blessing for us.
44%				"However, today the Muslim nation needs a collective and strong target so that every member of the Muslim nation enters the practical field to fulfill the promise made to God Almighty on the pattern of the example set by Prophet Ibrahim."
44%				"Today, the roles of Pharaoh, Caesar, and Chosroes have been taken up by Israel and United States, who first occupied our Aqsa Mosque, in the direction of which our Holy Prophet performed his prayers."
45%				And now these so-called powers are eying the Holy Kaaba and the Nabvi Mosque.
45%	othering			"Only seventy kilometers from the Holy Kaaba, they are ready to implement this ugly conspiracy."
45%	elevation		culturally defined elevation	You are successors of Khalid Bin Waleed and Tariq Bin Ziad.
45%	elevation			You are the beloved people of Ali [Holy Prophet's cousin and son-in-law].
45%	elevation			You are the nation of the Prophet who prayed for us every night.
45%				"Today, every member of the Muslim world agrees that all the Muslim countries of the world having geographical boundaries on the basis of nationality, geography, religious discord, color and race, should be merged into one Muslim state, where men do not rule men."
45%				There should be one caliph for the whole state whose capital should be Mecca.
46%				There should be one currency and defense for this state and the Holy Koran should be its constitution.
46%				The name that has been proposed for this vast state is Global Muslim State.
46%				"I want to congratulate you that by the grace of God, from today, we have begun the task of achieving a highly important and strong target of domination of Islam over all other religions."
46%				"No matter which movement or organization you belong to, you should propagate this message from your respective platforms in such a way that it becomes a voice of the two billion Muslims, so that practical steps might be taken as soon as possible."
46%				Sons and daughters of Islam!
46%				The countdown has started.
46%				You have the agenda in front of you and God
47%				has given a destination within your reach.
47%				The struggle initiated by the heroes of Karbala is about to reach its logical end in the coming few years.
47%				"The hero of Badr War [war fought between Muslims and infidels in the era of the Holy Prophet] will emerge successful from the disaster of 1,400 years, God willing."
47%				Muslims!
47%				Rise up like a storm and destroy the devilish powers.
47%				May God help us all.
47%				"Amen, a servant of Islam, Usama Bin Ladin."
47%				""""
48%				Praise be to God and we beseech Him for help and forgiveness.
48%				We seek refuge with the Lord of our bad and evildoing.
48%				"He whom God guides is rightly guided; but he whom God leaves to stray, for him wilt thou find no protector to lead him to the right way."
48%				[Koranic verse]
48%				I witness that there is no God but God and Muhammad is His slave and Prophet.
48%	othering			God Almighty hit the United States at its most vulnerable spot.
48%	othering			He destroyed its greatest buildings.
49%	elevation			Praise be to God.
49%				Here is the United States.
49%	othering			It was filled with terror from its north to its south and from its east to its west.
49%				Praise be to God.
49%				What the United States tastes today is a very small thing compared to what we have tasted for tens of years.
49%			expressing negativity of the ingroup	Our nation has been tasting this humiliation and contempt for more than 80 years.
49%			expressing negativity of the ingroup	"Its sons are being killed, its blood is being shed, its holy places are being attacked, and it is not being ruled according to what God has decreed."
50%				"Despite this, nobody cares."
50%	othering			"When Almighty God has rendered successful a convoy of Muslims, the vanguards of Islam, He allowed them to destroy the United States."
50%				I ask God Almighty to elevate their status and grant them Paradise.
50%				He is the one who is capable to do so.
50%				"When these defended their oppressed sons, brothers, and sisters in Palestine and in many Islamic countries, the world at large shouted."
50%				"The infidels shouted, followed by the hypocrites."
50%				One million Iraqi children have thus far died in Iraq although they did not do anything wrong.
51%				"Despite this, we heard no denunciation by anyone in the world or a fatwa by the rulers' ulema."
51%	othering			"Israeli tanks and tracked vehicles also enter to wreak havoc in Palestine, in Janin, Ramallah, Rafah, Bayt Jala, and other Islamic areas and we hear no voices raised or moves made."
51%	othering			"But if the sword falls on the United States after 80 years, hypocrisy raises its head lamenting the deaths of these killers who tampered with the blood, honor, and holy places of the Muslims."
51%	othering			The least that one can describe these people is that they are morally depraved.
51%	othering			"They champion falsehood, support the butcher against the victim, the oppressor against the innocent child"
51%	othering			May God mete them the punishment they deserve.
51%				I say that the matter is clear and explicit.
52%	othering			"In the aftermath of this event and now that senior US officials have spoken, beginning with Bush, the head of the world's infidels, and whoever supports him, every Muslim should rush to defend his religion."
52%	othering			They came out in arrogance with their men and horses and instigated even those countries that belong to Islam against us.
52%				They came out to fight this group of people who declared their faith in God and refused to abandon their religion.
52%				They came out to fight Islam [words indistinct] in the name of terrorism.
52%				"Hundreds of thousands of people, young and old, were killed in the farthest point on earth in Japan."
52%				"[For them] this is not a crime, but rather a debatable issue."
52%	othering			They bombed Iraq and considered that a debatable issue.
53%	othering			"But when a dozen people of them were killed in Nairobi and Dar Al-Salam, Afghanistan and Iraq were bombed and all hypocrite ones stood behind the head of the world's infidelity, behind the Hubal [one of the main idols worshipped by pagans before the advent of Islam] of the age; namely, America and its supporters."
53%				"These incidents divided the entire world into two regions - one of faith where there is no hypocrisy and another of infidelity, from which we hope God will protect us."
53%				"The winds of faith and change have blown to remove falsehood from the [Arabian] peninsula of Prophet Muhammad, may God's prayers be upon him."
53%				"As for the United States, I tell it and its people these few words: I swear by Almighty God who raised the heavens without pillars that neither the United States nor he who lives in the United States will enjoy security before we can see it as a reality in Palestine and before all the infidel armies leave the land of Muhammad, may God's peace and blessing be upon him."
53%				God is great and glory to Islam.
53%				"May God's peace, mercy, and blessings be upon you"
53%				"Here is America struck by God Almighty in one of its vital organs, so that its greatest buildings are destroyed."
53%				Grace and gratitude to God.
54%				"America has been filled with horror from north to south and east to west, and thanks be to God."
54%				What America is tasting now is only a copy of what we have tasted.
54%			expressing negativity of the ingroup	"Our Islamic nation has been tasting the same for more than 80 years of humiliation and disgrace, its sons killed and their blood spilled, its sanctities desecrated."
54%	othering			"God has blessed a group of vanguard Muslims, the forefront of Islam, to destroy America."
54%	othering			"May God bless them and allot them a supreme place in heaven, for he is the only one capable and entitled to do so."
54%			implicit othering	"When those have stood in defense of their weak children, their brothers and sisters in Palestine and other Muslim nations, the whole world went into an uproar, the infidels followed by the hypocrites."
54%				"A million innocent children are dying at this time as we speak, killed in Iraq without any guilt."
55%				"We hear no denunciation, we hear no edict from the hereditary rulers."
55%				"In these days, Israeli tanks rampage across Palestine, in Ramallah, Rafah and Beit Jala and many other parts of the land of Islam [dar al-Islam], and we do not hear anyone raising his voice or reacting."
55%				"But when the sword fell upon America after 80 years, hypocrisy raised its head up high bemoaning those killers who toyed with the blood, honor and sanctities of Muslims."
55%	othering			The least that can be said about those hypocrites is that they are apostates who followed the wrong path.
55%	othering			"They backed the butcher against the victim, the oppressor against the innocent child."
55%	othering			I seek refuge in God against them and ask him to let us see them in what they deserve.
55%				I say that the matter is very clear.
56%				"Every Muslim, after this event, after the senior officials in the United States of America starting with the head of international infidels."
56%				"Bush and his staff who went on a display of vanity with their men and horses, those who turned even the countries that believe in Islam against us - the group that resorted to God, the Almighty, the group that refuses to be subdued in its religion."
56%				They have been telling the world falsehoods that they are fighting terrorism.
56%				"In a nation at the far end of the world, Japan, hundreds of thousands, young and old, were killed and this is not a world crime."
56%				To them it is not a clear issue.
56%				"A million children in Iraq, to them this is not a clear issue."
56%				"But when a few more than 10 were killed in Nairobi and Dar es Salaam, Afghanistan and Iraq were bombed and hypocrisy stood behind the head of international infidels: the modern world's symbol of paganism, America, and its allies."
57%				"I tell them that these events have divided the world into two camps, the camp of the faithful and the camp of infidels."
57%				May God shield us and you from them.
57%	elevation			Every Muslim must rise to defend his religion.
57%				"The wind of faith is blowing and the wind of change is blowing to remove evil from the Peninsula of Muhammad, peace be upon him."
57%	othering	hostile		"As to America, I say to it and its people a few words: I swear to God that America will not live in peace before peace reigns in Palestine, and before all the army of infidels depart the land of Muhammad, peace be upon him."
57%	elevation			God is the greatest and glory be to Islam.
57%				"In the Name of Allah, the Most Gracious, the Most Merciful, ""Permission to fight (against disbelievers) is given to those (believers) who are fought against, because they have been wronged and surely, Allah is Able to give them (believers) victory"""
58%				[Quran 22:39]
58%				"""Those who believe, fight in the Cause of Allah, and those who disbelieve, fight in the cause of Taghut (anything worshipped other than Allah e.g. Satan)."
58%				"So fight you against the friends of Satan; ever feeble is indeed the plot of Satan."""
58%				[Quran 4:76]  Some American writers have published articles under the title 'On what basis are we fighting?'
58%				"These articles have generated a number of responses, some of which adhered to the truth and were based on Islamic Law, and others which have not."
58%				"Here we wanted to outline the truth - as an explanation and warning - hoping for Allah's reward, seeking success and support from Him."
58%				"While seeking Allah's help, we form our reply based on two questions directed at the Americans:  (Q1) Why are we fighting and opposing you?"
58%				(Q2)
59%				"What are we calling you to, and what do we want from you?"
59%				As for the first question: Why are we fighting and opposing you?
59%				The answer is very simple:  (1) Because you attacked us and continue to attack us.
59%				a)
59%	othering			You attacked us in Palestine:
59%				"(i) Palestine, which has sunk under military occupation for more than 80 years."
59%	othering	Anti-Semetic		"The British handed over Palestine, with your help and your support, to the Jews, who have occupied it for more than 50 years; years overflowing with oppression, tyranny, crimes, killing, expulsion, destruction and devastation."
60%	othering			"The creation and continuation of Israel is one of the greatest crimes, and you are the leaders of its criminals."
60%				"And of course, there is no need to explain and prove the degree of American support for Israel."
60%	othering			The creation of Israel is a crime which must be erased.
60%				"Each and every person whose hands have become polluted in the contribution towards this crime must pay its price, and pay for it heavily."
60%				(ii)
60%	othering	Anti-Semetic		"It brings us both laughter and tears to see that you have not yet tired of repeating your fabricated lies that the Jews have a historical right to Palestine, as it was promised to them in the Torah."
60%				Anyone who disputes with them on this alleged fact is accused of anti-Semitism.
61%				"This is one of the most fallacious, widely circulated fabrications in history."
61%				The people of Palestine are pure Arabs and original Semites.
61%	elevation			It is the Muslims who are the inheritors of Moses (peace be upon him) and the inheritors of the real Torah that has not been changed.
61%	elevation			"Muslims believe in all of the Prophets, including Abraham, Moses, Jesus and Muhammad, peace and blessings of Allah be upon them all."
61%				"If the followers of Moses have been promised a right to Palestine in the Torah, then the Muslims are the most worthy nation of this."
61%	elevation			"When the Muslims conquered Palestine and drove out the Romans, Palestine and Jerusalem returned to Islam, the religion of all the Prophets peace be upon them."
61%				"Therefore, the call to a historical right to Palestine cannot be raised against the Islamic Ummah that believes in all the Prophets of Allah (peace and blessings be upon them) - and we make no distinction between them."
62%				(iii)
62%				The blood pouring out of Palestine must be equally revenged.
62%				You must know that the Palestinians do not cry alone; their women are not widowed alone; their sons are not orphaned alone.
62%	othering			"(b) You attacked us in Somalia; you supported the Russian atrocities against us in Chechnya, the Indian oppression against us in Kashmir, and the Jewish aggression against us in Lebanon."
62%				(c)
62%				"Under your supervision, consent and orders, the governments of our countries which act as your agents, attack us on a daily basis;  (i)"
62%	othering			"These governments prevent our people from establishing the Islamic Shariah, using violence and lies to do so."
63%				(ii)
63%	othering			"These governments give us a taste of humiliation, and places us in a large prison of fear and subdual."
63%				(iii)
63%	othering			These governments steal our Ummah's wealth and sell them to you at a paltry price.
63%				(iv)
63%	othering	Anti-Semetic		"These governments have surrendered to the Jews, and handed them most of Palestine, acknowledging the existence of their state over the dismembered limbs of their own people."
63%				(v)
64%				"The removal of these governments is an obligation upon us, and a necessary step to free the Ummah, to make the Shariah the supreme law and to regain Palestine."
64%	othering	hostile		And our fight against these governments is not separate from out fight against you.
64%				(d)
64%	othering			You steal our wealth and oil at paltry prices because of your international influence and military threats.
64%				This theft is indeed the biggest theft ever witnessed by mankind in the history of the world.
64%				(e)
64%	othering	Anti-Semetic		"Your forces occupy our countries; you spread your military bases throughout them; you corrupt our lands, and you besiege our sanctities, to protect the security of the Jews and to ensure the continuity of your pillage of our treasures."
64%	othering			"(f) You have starved the Muslims of Iraq, where children die every day."
65%	othering			"It is a wonder that more than 1.5 million Iraqi children have died as a result of your sanctions, and you did not show concern."
65%				"Yet when 3000 of your people died, the entire world rises and has not yet sat down."
65%				"(g) You have supported the Jews in their idea that Jerusalem is their eternal capital, and agreed to move your embassy there."
65%				"With your help and under your protection, the Israelis are planning to destroy the Al-Aqsa mosque."
65%	othering			"Under the protection of your weapons, Sharon entered the Al-Aqsa mosque, to pollute it as a preparation to capture and destroy it."
65%				-2
65%	othering			These tragedies and calamities are only a few examples of your oppression and aggression against us.
66%				It is commanded by our religion and intellect that the oppressed have a right to return the aggression.
66%				"Do not await anything from us but Jihad, resistance and revenge."
66%				"Is it in any way rational to expect that after America has attacked us for more than half a century, that we will then leave her to live in security and peace?!!"
66%				-3
66%				"You may then dispute that all the above does not justify aggression against civilians, for crimes they did not commit and offenses in which they did not partake:   (a)"
66%	othering		negation sentence	"This argument contradicts your continuous repetition that America is the land of freedom, and its leaders in this world."
66%				"Therefore, the American people are the ones who choose their government by way of their own free will; a choice which stems from their agreement to its policies."
67%	othering			"Thus the American people have chosen, consented to, and affirmed their support for the Israeli oppression of the Palestinians, the occupation and usurpation of their land, and its continuous killing, torture, punishment and expulsion of the Palestinians."
67%				The American people have the ability and choice to refuse the policies of their Government and even to change it if they want.
67%				(b)
67%	othering			"The American people are the ones who pay the taxes which fund the planes that bomb us in Afghanistan, the tanks that strike and destroy our homes in Palestine, the armies which occupy our lands in the Arabian Gulf, and the feats which ensure the blockade of Iraq."
67%	othering			These tax dollars are given to Israel for it to continue to attack us and penetrate our lands.
67%	othering			"So the American people are the ones who fund the attacks against us, and they are the ones who oversee the expenditure of these monies in the way they wish, through their elected candidates."
67%				(c)
68%				Also the American army is part of the American people.
68%	othering			It is this very same people who are shamelessly helping the Jews fight against us.
68%				(d)
68%	othering			The American people are the ones who employ both their men and their women in the American Forces which attack us.
68%				(e)
68%	othering			This is why the American people cannot be not innocent of all the crimes committed by the Americans and Jews against us.
68%				"(f) Allah, the Almighty, legislated the permission and the option to take revenge."
69%	elevation			"Thus, if we are attacked, then we have the right to attack back."
69%		hostile		"Whoever has destroyed our villages and towns, then we have the right to destroy their villages and towns."
69%		hostile		"Whoever has stolen our wealth, then we have the right to destroy their economy."
69%		hostile		"And whoever has killed our civilians, then we have the right to kill theirs."
69%				The American Government and press still refuses to answer the question:
69%				Why did they attack us in New York and Washington?
69%				"If Sharon is a man of peace in the eyes of Bush, then we are also men of peace!!!"
69%	othering			"America does not understand the language of manners and principles, so we are addressing it using the language it understands."
70%				(Q2)
70%				"As for the second question that we want to answer: What are we calling you to, and what do we want from you?"
70%				-1
70%				The first thing that we are calling you to is Islam.
70%				(a)
70%	elevation			"The religion of the Unification of God; of freedom from associating partners with Him, and rejection of this; of complete love of Him, the Exalted; of complete submission to His Laws; and of the discarding of all the opinions, orders, theories and religions which contradict with the religion He sent down to His Prophet Muhammad (peace be upon him)."
70%	elevation			"Islam is the religion of all the prophets, and makes no distinction between them - peace be upon them all."
71%			elevating the religion rather than a person	It is to this religion that we call you; the seal of all the previous religions.
71%			elevating the religion rather than a person	"It is the religion of Unification of God, sincerity, the best of manners, righteousness, mercy, honour, purity, and piety."
71%			elevating the religion rather than a person	"It is the religion of showing kindness to others, establishing justice between them, granting them their rights, and defending the oppressed and the persecuted."
71%			elevating the religion rather than a person	"It is the religion of enjoining the good and forbidding the evil with the hand, tongue and heart."
71%			elevating the religion rather than a person	It is the religion of Jihad in the way of Allah so that Allah's Word and religion reign Supreme.
71%			elevating the religion rather than a person	"And it is the religion of unity and agreement on the obedience to Allah, and total equality between all people, without regarding their colour, sex, or language."
71%				(b)
72%				"It is the religion whose book - the Quran - will remained preserved and unchanged, after the other Divine books and messages have been changed."
72%				The Quran is the miracle until the Day of Judgment.
72%				Allah has challenged anyone to bring a book like the Quran or even ten verses like it.
72%				-2
72%	othering			"The second thing we call you to, is to stop your oppression, lies, immorality and debauchery that has spread among you."
72%				(a)
72%			Value Judgement	"We call you to be a people of manners, principles, honour, and purity; to reject the immoral acts of fornication, homosexuality, intoxicants, gambling's, and trading with interest."
73%	othering			"We call you to all of this that you may be freed from that which you have become caught up in; that you may be freed from the deceptive lies that you are a great nation, that your leaders spread amongst you to conceal from you the despicable state to which you have reached."
73%				(b)
73%	othering			It is saddening to tell you that you are the worst civilization witnessed by the history of mankind:
73%				(i)
73%				"You are the nation who, rather than ruling by the Shariah of Allah in its Constitution and Laws, choose to invent your own laws as you will and desire."
73%				"You separate religion from your policies, contradicting the pure nature which affirms Absolute Authority to the Lord and your Creator."
73%				You fee from the embarrassing question posed to you:
74%				"How is it possible for Allah the Almighty to create His creation, grant them power over all the creatures and land, grant them all the amenities of life, and then deny them that which they are most in need of: knowledge of the laws which govern their lives?"
74%				(ii)
74%	othering		Value Judgement	"You are the nation that permits Usury, which has been forbidden by all the religions."
74%	othering			Yet you build your economy and investments on Usury.
74%	othering	Anti-Semetic		"As a result of this, in all its different forms and guises, the Jews have taken control of your economy, through which they have then taken control of your media, and now control all aspects of your life making you their servants and achieving their aims at your expense; precisely what Benjamin Franklin warned you against."
74%				(iii)
74%	othering			"You are a nation that permits the production, trading and usage of intoxicants."
75%			Value Judgement	"You also permit drugs, and only forbid the trade of them, even though your nation is the largest consumer of them."
75%	othering			"(iv) You are a nation that permits acts of immorality, and you consider them to be pillars of personal freedom."
75%	othering			"You have continued to sink down this abyss from level to level until incest has spread amongst you, in the face of which neither your sense of honour nor your laws object."
75%	othering			Who can forget your President Clinton's immoral acts committed in the official Oval office?
75%				"After that you did not even bring him to account, other than that he 'made a mistake', after which everything passed with no punishment."
75%				Is there a worse kind of event for which your name will go down in history and remembered by nations?
75%			Value Judgement	(v) You are a nation that permits gambling in its all forms.
75%	othering			"The companies practice this as well, resulting in the investments becoming active and the criminals becoming rich."
76%				(vi)
76%	othering			You are a nation that exploits women like consumer products or advertising tools calling upon customers to purchase them.
76%			Value Judgement	"You use women to serve passengers, visitors, and strangers to increase your profit margins."
76%	othering			You then rant that you support the liberation of women.
76%				(vii)
76%			Value Judgement	"You are a nation that practices the trade of sex in all its forms, directly and indirectly."
76%				"Giant corporations and establishments are established on this, under the name of art, entertainment, tourism and freedom, and other deceptive names you attribute to it."
77%				(viii)
77%				"And because of all this, you have been described in history as a nation that spreads diseases that were unknown to man in the past."
77%	othering			"Go ahead and boast to the nations of man, that you brought them AIDS as a Satanic American Invention."
77%				(xi)
77%	othering			You have destroyed nature with your industrial waste and gases more than any other nation in history.
77%	othering			"Despite this, you refuse to sign the Kyoto agreement so that you can secure the profit of your greedy companies and industries."
77%			Value Judgement	"(x) Your law is the law of the rich and wealthy people, who hold sway in their political parties, and fund their election campaigns with their gifts."
78%	othering	Anti-Semetic		"Behind them stand the Jews, who control your policies, media and economy."
78%				(xi)
78%				"That which you are singled out for in the history of mankind, is that you have used your force to destroy mankind more than any other nation in history; not to defend principles and values, but to hasten to secure your interests and profits."
78%				"You who dropped a nuclear bomb on Japan, even though Japan was ready to negotiate an end to the war."
78%	othering			"How many acts of oppression, tyranny and injustice have you carried out, O callers to freedom?"
78%	othering			(xii) Let us not forget one of your major characteristics: your duality in both manners and values; your hypocrisy in manners and principles.
78%				"All manners, principles and values have two scales: one for you and one for the others."
79%				(a)
79%	othering			"The freedom and democracy that you call to is for yourselves and for white race only; as for the rest of the world, you impose upon them your monstrous, destructive policies and Governments, which you call the 'American friends'."
79%	othering			Yet you prevent them from establishing democracies.
79%	othering			"When the Islamic party in Algeria wanted to practice democracy and they won the election, you unleashed your agents in the Algerian army onto them, and to attack them with tanks and guns, to imprison them and torture them - a new lesson from the 'American book of democracy'!!!"
79%				(b)
79%			Value Judgement	Your policy on prohibiting and forcibly removing weapons of mass destruction to ensure world peace: it only applies to those countries which you do not permit to possess such weapons.
79%			Value Judgement	"As for the countries you consent to, such as Israel, then they are allowed to keep and use such weapons to defend their security."
80%				"Anyone else who you suspect might be manufacturing or keeping these kinds of weapons, you call them criminals and you take military action against them."
80%				(c)
80%	othering			"You are the last ones to respect the resolutions and policies of International Law, yet you claim to want to selectively punish anyone else who does the same."
80%			Value Judgement	Israel has for more than 50 years been pushing UN resolutions and rules against the wall with the full support of America.
80%				(d)
80%				As for the war criminals which you censure and form criminal courts for - you shamelessly ask that your own are granted immunity!!
80%	othering		Allegations of war crime	"However, history will not forget the war crimes that you committed against the Muslims and the rest of the world; those you have killed in Japan, Afghanistan, Somalia, Lebanon and Iraq will remain a shame that you will never be able to escape."
81%				"It will suffice to remind you of your latest war crimes in Afghanistan, in which densely populated innocent civilian villages were destroyed, bombs were dropped on mosques causing the roof of the mosque to come crashing down on the heads of the Muslims praying inside."
81%	othering			"You are the ones who broke the agreement with the Mujahideen when they left Qunduz, bombing them in Jangi fort, and killing more than 1,000 of your prisoners through suffocation and thirst."
81%	othering			Allah alone knows how many people have died by torture at the hands of you and your agents.
81%				"Your planes remain in the Afghan skies, looking for anyone remotely suspicious."
81%				"(e) You have claimed to be the vanguards of Human Rights, and your Ministry of Foreign affairs issues annual reports containing statistics of those countries that violate any Human Rights."
81%			Implicit	"However, all these things vanished when the Mujahideen hit you, and you then implemented the methods of the same documented governments that you used to curse."
81%			Implicit	"In America, you captured thousands the Muslims and Arabs, took them into custody with neither reason, court trial, nor even disclosing their names."
81%				"You issued newer, harsher laws."
